id_municipio,ano,populacao
2103406,2010,47732
2108207,2010,39650
2111706,2010,21133
2105906,2011,15645
2106003,2011,11553
2107001,2011,9544
2112233,2011,20743
2103000,2012,158997
2110237,2012,11785
2101608,2013,84728
2102309,2013,23301
2106409,2013,15789
2106672,2013,8456
2111102,2013,25296
2102705,2014,21671
2102903,2015,23322
2106904,2015,30785
2108454,2015,21628
2111508,2015,40240
2101004,2016,29815
2101251,2016,16158
2102077,2016,14063
2105963,2016,11159
2109809,2016,41112
2100956,2017,29608
2105153,2017,13712
2105658,2017,5146
2106508,2017,22637
2111805,2017,17480
2112407,2017,37297
2100873,2018,12775
2104073,2018,8291
2105450,2018,8165
2104602,2019,14326
2109304,2019,11005
2111078,2019,17652
2100873,2020,12316
2101301,2020,17054
2112704,2020,46825
2102358,2021,13692
2103257,2021,13432
2111532,2021,14301
2113009,2021,32060
2100105,2022,6292
2103554,2022,15292
2113009,2022,32025
2102804,2023,24650
2109759,2023,6857
2100402,2002,6531
2106672,2002,7919
2111003,2002,19935
2111078,2002,15784
2112209,2002,139519
2112902,2002,30585
2100832,2003,12777
2101004,2003,27999
2101772,2003,9550
2108702,2003,24191
2100477,2004,32609
2101004,2004,28116
2105948,2004,9264
2106755,2004,19867
2106904,2004,28384
2108702,2004,23898
2110856,2004,8564
2112407,2004,33072
2102606,2005,18238
2104057,2005,29739
2104107,2005,12337
2107001,2005,10184
2110278,2005,11866
2100154,2006,10976
2100808,2006,12703
2101202,2006,98602
2102325,2006,62598
2102754,2006,10764
2111789,2006,9302
2100550,2007,6251
2101004,2007,28464
2103257,2007,13464
2105906,2007,15394
2112233,2007,19878
2101350,2008,5268
2102903,2008,21496
2106508,2008,21729
2107209,2008,11517
2110237,2008,11273
2111904,2009,10587
2112233,2009,20337
2112605,2009,28588
2104099,2010,17243
2109106,2010,45059
2111607,2010,17488
2100477,2011,31845
2101772,2011,10445
2110856,2011,10392
2112704,2011,50327
2100709,2012,25065
2105351,2012,14341
2109452,2012,27008
2111904,2012,10584
2112407,2012,34950
2105401,2013,63495
2105450,2013,8577
2111607,2013,17965
2100204,2014,21401
2105450,2014,8514
2105708,2014,46879
2105948,2014,9020
2111607,2014,18126
2102309,2015,23373
2102374,2015,9132
2104701,2015,6222
2109304,2015,11072
2112852,2015,11232
2102309,2016,23382
2112274,2016,5802
2101970,2017,7598
2105302,2017,267999
2106003,2017,11654
2107605,2018,20616
2111672,2018,5287
2104057,2019,35556
2108306,2019,34696
2109759,2019,7066
2102507,2020,17483
2102903,2020,24329
2105153,2020,14059
2106904,2020,29764
2108058,2020,16830
2102804,2021,24745
2104206,2021,17522
2110609,2021,27996
2100303,2022,23962
2101772,2022,11912
2105609,2022,15408
2108108,2022,20921
2109270,2022,17955
2111052,2022,10282
2101707,2023,67172
2104206,2023,17389
2106706,2023,21520
2108306,2023,33803
2108603,2023,87425
2109106,2023,46574
2102309,2002,22469
2106102,2002,10708
2110401,2002,17135
2111706,2002,19636
2103505,2003,38209
2105104,2003,23366
2109502,2003,21367
2110203,2003,26301
2100105,2004,5239
2105963,2004,9483
2108454,2005,19639
2102408,2006,10473
2107258,2006,4603
2109106,2006,43656
2110807,2006,4989
2100477,2007,32524
2102358,2007,15659
2102705,2007,19682
2104701,2007,6266
2108454,2007,20392
2108306,2008,35428
2105948,2009,9026
2106607,2009,31748
2109551,2009,7349
2111573,2009,4331
2102507,2010,18712
2102556,2010,13553
2105401,2010,62650
2107209,2010,12255
2107258,2010,4901
2110039,2010,23821
2111409,2010,20233
2100154,2011,11695
2100501,2011,10880
2106359,2011,7928
2108504,2011,31693
2110401,2011,18103
2111607,2011,17647
2101251,2012,15268
2104503,2012,10372
2104800,2012,63919
2106409,2012,15543
2106300,2013,17408
2109759,2013,7229
2111763,2013,14805
2102077,2014,14436
2103174,2014,18919
2104008,2014,18599
2104602,2014,14187
2106003,2014,11621
2111102,2014,25402
2102408,2015,10886
2102705,2015,22065
2103604,2015,62909
2108009,2015,18791
2111201,2015,189207
2112407,2015,36509
2102002,2016,38040
2104081,2016,10046
2104602,2016,14249
2101103,2017,12020
2102325,2017,63004
2110104,2017,24798
2111763,2017,15004
2100204,2018,20440
2100550,2018,7076
2103604,2018,62650
2110104,2018,24791
2110658,2018,7744
2110906,2018,12266
2100477,2019,28708
2102606,2019,20120
2108009,2019,19120
2108900,2019,18706
2112209,2019,173488
2104107,2020,12927
2107001,2020,9464
2108900,2020,18480
2107407,2021,18592
2109452,2021,30943
2110104,2021,24711
2111409,2021,18770
2102150,2022,9636
2105948,2022,9028
2107704,2022,18948
2111078,2022,17431
2103802,2023,23596
2105609,2023,15315
2109700,2023,5686
2111508,2023,40242
2101509,2002,15939
2104008,2002,20879
2108405,2002,13985
2100154,2003,10470
2104404,2003,17928
2109270,2003,15168
2112001,2003,6904
2100873,2004,12161
2102200,2004,25545
2107258,2004,4417
2111672,2004,5270
2104206,2005,17213
2105476,2005,14974
2110005,2005,71013
2112100,2005,28290
2101939,2006,5444
2106102,2006,11207
2107506,2006,90950
2108207,2007,40093
2108306,2007,35066
2105427,2008,25257
2108108,2008,20657
2110401,2008,17716
2110906,2008,12036
2100832,2009,14853
2103505,2009,39337
2106904,2009,30930
2108108,2009,20658
2111508,2009,39248
2111631,2009,6476
2103802,2010,22936
2111078,2010,17407
2111508,2010,39452
2101400,2011,83954
2102408,2011,10812
2103901,2011,10807
2105005,2011,26691
2106672,2011,8251
2108108,2011,20680
2105609,2012,15766
2106904,2012,31212
2109270,2012,17489
2110609,2012,27177
2100303,2013,24437
2101939,2013,5757
2103208,2013,76465
2104057,2013,36420
2105005,2013,27008
2105807,2013,10442
2111805,2013,17326
2103604,2014,62898
2104677,2014,25688
2106755,2014,25040
2107001,2014,9520
2108256,2014,23806
2101731,2015,7569
2104073,2015,8278
2109403,2015,14295
2111029,2015,14999
2100055,2016,108725
2103000,2016,161883
2104057,2016,36096
2101004,2017,29939
2105922,2017,11001
2108702,2017,22761
2110005,2017,66095
2100709,2018,25944
2101400,2018,96672
2102325,2018,62206
2104677,2018,25016
2105906,2018,15546
2106300,2018,15842
2109700,2018,5689
2111607,2018,18668
2111631,2018,5995
2103406,2019,45292
2103802,2019,23587
2105153,2019,13959
2107456,2019,13873
2110658,2019,7852
2112506,2019,55017
2101772,2020,11711
2102408,2020,10651
2104628,2020,7355
2105203,2020,10627
2111748,2020,10484
2101004,2021,30409
2101509,2021,19204
2106607,2021,33395
2101202,2022,107197
2101509,2022,19311
2102077,2022,12829
2109239,2022,4986
2102309,2023,23049
2103505,2023,41703
2107605,2023,21453
2109551,2023,7601
2110039,2023,24869
2102325,2002,57386
2104628,2002,6967
2109106,2002,42061
2103208,2003,66255
2105427,2003,24685
2106300,2003,15155
2109056,2003,6453
2109809,2003,33364
2112100,2003,28162
2112407,2003,32926
