CD_MUN,idhm
3535408,0.72
3535507,0.76
3535606,0.71
3535705,0.74
3535804,0.71
3535903,0.73
3536000,0.73
3536109,0.72
3536208,0.73
3536257,0.72
3536307,0.73
3536406,0.71
3536505,0.79
3536570,0.71
3536604,0.72
3536703,0.73
3536802,0.67
3536901,0.74
3537008,0.71
3537107,0.76
3537156,0.77
3537206,0.69
3537305,0.75
3537404,0.76
3537503,0.73
3537602,0.74
3537701,0.73
3537800,0.71
3537909,0.69
3538006,0.77
3538105,0.73
3538204,0.72
3538303,0.71
3538501,0.75
3538600,0.73
3538709,0.78
3538808,0.75
3538907,0.74
3539004,0.75
3539103,0.72
3539202,0.77
3539301,0.8
3539400,0.77
3539509,0.72
3539608,0.71
3539707,0.71
3539806,0.77
3539905,0.76
3540002,0.78
3540101,0.75
3540200,0.72
3540259,0.7
3540309,0.73
3540408,0.71
3540507,0.7
3540606,0.75
3540705,0.75
3540754,0.69
3540804,0.74
3540853,0.69
3540903,0.73
3541000,0.75
3541059,0.7
3541109,0.73
3541208,0.75
3541307,0.75
3541406,0.8
3541505,0.76
3541604,0.74
3541653,0.67
3541703,0.73
3541802,0.71
3541901,0.72
3542008,0.73
3542107,0.74
3542206,0.75
3542305,0.65
3542404,0.76
3542503,0.72
3542602,0.75
3542701,0.7
3542800,0.69
3542909,0.71
3543006,0.63
3543105,0.71
3543204,0.74
3543238,0.72
3543253,0.7
3543303,0.78
3543402,0.8
3543501,0.66
3543600,0.74
3543709,0.73
3543808,0.72
3543907,0.8
3544004,0.75
3544103,0.74
3544202,0.7
3544251,0.76
3544301,0.73
3544400,0.72
3544509,0.75
3544608,0.72
3544707,0.73
3544806,0.75
3544905,0.77
3545001,0.73
3545100,0.71
3545159,0.79
3545209,0.78
3545308,0.72
3545407,0.7
3545506,0.7
3545605,0.76
3545704,0.72
3545803,0.78
3546009,0.73
3546108,0.73
3546207,0.79
3546256,0.74
3546306,0.72
3546405,0.76
3546504,0.73
3546603,0.78
3546702,0.73
3546801,0.73
3546900,0.73
3547007,0.68
3547106,0.73
3547205,0.77
3547304,0.81
3547403,0.76
3547502,0.77
3547601,0.77
3547650,0.77
3547700,0.75
3547809,0.81
3547908,0.7
3548005,0.7
3548054,0.75
3548104,0.71
3548203,0.7
3548302,0.73
3548401,0.74
3548500,0.84
3548609,0.72
3548708,0.8
3548807,0.86
3548906,0.8
3549003,0.72
3549102,0.79
3549201,0.72
3549250,0.74
3549300,0.75
3549409,0.76
3549508,0.69
3549607,0.68
3549706,0.77
3549805,0.79
3549904,0.8
3549953,0.72
3550001,0.69
3550100,0.74
3550209,0.71
3550308,0.8
3550407,0.75
3550506,0.7
3550605,0.76
3550704,0.77
3550803,0.7
3550902,0.76
3551009,0.76
3551108,0.7
3551207,0.68
3551306,0.77
3551405,0.68
3551504,0.72
3551603,0.76
3551702,0.76
3551801,0.67
3551900,0.71
3552007,0.67
3552106,0.72
3552205,0.79
3552304,0.74
3552403,0.76
3552502,0.76
3552551,0.69
3552601,0.73
3552700,0.7
3552809,0.76
3552908,0.72
3553005,0.7
3553104,0.71
3553203,0.76
3553302,0.73
3553401,0.74
3553500,0.68
3553609,0.75
3553658,0.75
3553708,0.74
3553807,0.7
3553856,0.67
3553906,0.72
3553955,0.75
3554003,0.75
3554102,0.8
3554201,0.66
3554300,0.74
3554409,0.74
3554508,0.77
3554607,0.71
3554656,0.71
3554706,0.74
3554755,0.72
3554805,0.78
3554904,0.75
3554953,0.72
3555000,0.77
3555109,0.76
3555208,0.75
3555307,0.73
3555356,0.7
3555406,0.75
3555505,0.72
3555604,0.72
3555703,0.74
3555802,0.74
3555901,0.71
3556008,0.74
3556107,0.73
3556206,0.81
3556305,0.72
3556354,0.69
3556404,0.73
3556453,0.77
3556503,0.75
3556602,0.75
3556701,0.81
3556800,0.73
3556909,0.74
3556958,0.72
3557006,0.76
3557105,0.79
3557154,0.72
3557204,0.72
3557303,0.74
